platform_name,product_name,brand,model,rating,review_time,content,like_count,review_id_raw,is_competitor
京东,XX蓝牙耳机,品牌A,Model-X,5,2025-12-26 09:15:00,"音质不错，低音给力，连接稳定，佩戴舒服。",12,jd_xx_001,0
京东,XX蓝牙耳机,品牌A,Model-X,5,2025-12-26 21:40:00,"降噪效果好，通透模式也不错，做工有质感，整体满意。",7,jd_xx_002,0
京东,XX蓝牙耳机,品牌A,Model-X,5,2025-12-27 08:05:00,"通话清晰，麦克风拾音稳定，风噪控制还不错。",6,jd_xx_003,0
京东,XX蓝牙耳机,品牌A,Model-X,4,2025-12-27 19:20:00,"续航给力，电量够用，充电也方便，性价比不错。",4,jd_xx_004,0
京东,XX蓝牙耳机,品牌A,Model-X,5,2025-12-28 10:10:00,"蓝牙配对很快，延迟不明显，连接稳定，用着满意。",9,jd_xx_005,0
京东,XX蓝牙耳机,品牌A,Model-X,4,2025-12-28 22:00:00,"外观颜值不错，戴着稳固不夹耳，价格也划算。",5,jd_xx_006,0
京东,XX蓝牙耳机,品牌A,Model-X,5,2025-12-29 09:30:00,"音质好，高音不刺耳，解析不错。",8,jd_xx_007,0
京东,XX蓝牙耳机,品牌A,Model-X,5,2025-12-29 20:50:00,"佩戴舒服，长时间也不痛，降噪给力。",11,jd_xx_008,0
京东,XX蓝牙耳机,品牌A,Model-X,5,2025-12-30 10:00:00,"音质很好，降噪效果明显，连接也稳定。",10,jd_xx_009,0
京东,XX蓝牙耳机,品牌A,Model-X,5,2025-12-30 15:30:00,"性价比值得，做工优秀，通话清晰。",13,jd_xx_010,0
京东,XX蓝牙耳机,品牌A,Model-X,2,2025-12-31 09:05:00,"通话不清晰，麦克风有电流声，风噪也大，失望。",3,jd_xx_011,0
京东,XX蓝牙耳机,品牌A,Model-X,1,2026-01-01 11:15:00,"续航掉电快，电量不够用，充电充不进，太失望。",1,jd_xx_012,0
京东,XX蓝牙耳机,品牌A,Model-X,1,2026-01-02 18:00:00,"佩戴不舒适，夹耳还痛，戴久了更痛。",2,jd_xx_013,0
京东,XX蓝牙耳机,品牌A,Model-X,2,2026-01-03 10:20:00,"降噪不给力，风噪很大，效果差，失望。",1,jd_xx_014,0
京东,YY蓝牙耳机,品牌B,Model-Y,4,2025-12-26 10:10:00,"外观时尚，耳机很轻，降噪一般。",6,jd_yy_001,1
京东,YY蓝牙耳机,品牌B,Model-Y,3,2025-12-27 12:20:00,"连接速度一般，偶尔会断连，音质中规中矩。",4,jd_yy_002,1
京东,YY蓝牙耳机,品牌B,Model-Y,5,2025-12-28 08:45:00,"低音不错，听流行音乐合适，续航也行。",9,jd_yy_003,1
京东,YY蓝牙耳机,品牌B,Model-Y,2,2025-12-28 22:10:00,"延迟明显，游戏不同步，体验一般。",3,jd_yy_004,1
京东,YY蓝牙耳机,品牌B,Model-Y,4,2025-12-29 11:00:00,"佩戴舒服，耳罩柔软，长时间不会胀痛。",8,jd_yy_005,1
京东,YY蓝牙耳机,品牌B,Model-Y,2,2025-12-30 09:30:00,"降噪几乎没有效果，嘈杂环境很吵。",2,jd_yy_006,1
京东,YY蓝牙耳机,品牌B,Model-Y,1,2025-12-31 13:40:00,"做工一般，缝隙大，感觉不牢靠。",1,jd_yy_007,1
京东,YY蓝牙耳机,品牌B,Model-Y,3,2026-01-01 16:30:00,"通话时偶尔卡顿，对方能听到环境声。",5,jd_yy_008,1
京东,YY蓝牙耳机,品牌B,Model-Y,5,2026-01-02 10:15:00,"通透模式好用，开车接打电话方便。",7,jd_yy_009,1
京东,YY蓝牙耳机,品牌B,Model-Y,2,2026-01-03 09:55:00,"耳机偶尔漏音，音量开大有杂音。",2,jd_yy_010,1
京东,ZZ运动耳机,品牌C,Model-Z,5,2025-12-26 09:40:00,"稳固不掉，跑步戴着很牢，防汗不错。",6,jd_zz_001,1
京东,ZZ运动耳机,品牌C,Model-Z,4,2025-12-27 07:50:00,"低音有力，运动节奏感好，续航尚可。",5,jd_zz_002,1
京东,ZZ运动耳机,品牌C,Model-Z,3,2025-12-28 12:30:00,"充电仓有点松，盖子不太紧。",3,jd_zz_003,1
京东,ZZ运动耳机,品牌C,Model-Z,2,2025-12-29 08:15:00,"蓝牙延迟明显，看视频口型不同步。",2,jd_zz_004,1
京东,ZZ运动耳机,品牌C,Model-Z,5,2025-12-30 18:20:00,"操作按键灵敏，防水表现好，性价比高。",8,jd_zz_005,1
京东,ZZ运动耳机,品牌C,Model-Z,1,2025-12-31 17:00:00,"音质发闷，降噪几乎没有，后悔购买。",1,jd_zz_006,1
京东,ZZ运动耳机,品牌C,Model-Z,4,2026-01-01 09:25:00,"佩戴轻盈，长跑耳朵不疼，收纳方便。",4,jd_zz_007,1
京东,ZZ运动耳机,品牌C,Model-Z,2,2026-01-02 14:05:00,"连接老断，手机放口袋就卡顿。",2,jd_zz_008,1
京东,QX降噪耳机,品牌D,Model-Q,5,2025-12-26 13:10:00,"主动降噪强，地铁里也能安静听歌。",9,jd_qx_001,1
京东,QX降噪耳机,品牌D,Model-Q,4,2025-12-27 15:45:00,"音质清晰，通透模式自然，外观高档。",7,jd_qx_002,1
京东,QX降噪耳机,品牌D,Model-Q,3,2025-12-28 21:10:00,"佩戴久了有点闷热，耳罩偏厚。",4,jd_qx_003,1
京东,QX降噪耳机,品牌D,Model-Q,2,2025-12-29 22:30:00,"耳机有轻微漏音，低频轰头。",2,jd_qx_004,1
京东,QX降噪耳机,品牌D,Model-Q,5,2025-12-30 09:05:00,"连PC和手机切换顺畅，延迟低。",8,jd_qx_005,1
京东,QX降噪耳机,品牌D,Model-Q,2,2025-12-31 20:50:00,"蓝牙偶尔掉线，固件需要优化。",3,jd_qx_006,1
京东,QX降噪耳机,品牌D,Model-Q,4,2026-01-01 19:30:00,"续航稳定，充电速度快，旅行友好。",6,jd_qx_007,1
京东,QX降噪耳机,品牌D,Model-Q,1,2026-01-02 21:15:00,"耳罩有异味，夹头明显，戴不住。",1,jd_qx_008,1
